,Model,F1-macro,F1-macro_std,F1-weighted,Accuracy,Precision-macro,Recall-macro,Train_F1-macro,Overfit_gap,Time_s
63,LightGBM Tuned | GloVe-Twitter,0.6005524768285322,0.006106203768274334,0.7161461645284353,0.7329983867655473,0.6450236883629067,0.5772445753436359,0.8644004944932518,0.26384801766471966,14.988215684890747
64,XGBoost 300 | GloVe-Twitter,0.5988518248647262,0.012692999271919166,0.7183881469035983,0.7463044960811251,0.6958474153273047,0.5641217430519011,0.8805343220687822,0.281682497204056,7.701004505157471
65,KNN k=5 | W2V-SG,0.5969827322202924,0.011426756530521942,0.7177911352935983,0.7242991105795894,0.6077915585862343,0.5888544849715767,0.7234403169253102,0.12645758470501778,2.719452142715454
66,LightGBM 300 | GloVe-Twitter,0.5957333992238262,0.00392905692747711,0.7112984350498129,0.7269197654715114,0.6344532973479547,0.5745796613915898,0.8653872292710334,0.2696538300472072,6.164338111877441
67,XGBoost 100 | GloVe-Twitter,0.5903805403825839,0.009838768915494428,0.7124643819409149,0.7413796833492021,0.6876155198994675,0.5567153375048117,0.8802825082945942,0.2899019679120103,3.224522113800049
68,RF 300 | W2V-SG,0.5822894901203636,0.014150435467957568,0.7154487753809121,0.7511269030181431,0.7104872215438495,0.5494599387341809,0.999273529123595,0.41698403900323144,5.886500358581543
69,LR C=1.0 | W2V-SG,0.5807559833281647,0.008896749209945421,0.6868725282831596,0.6718001895468118,0.5735859898930877,0.6023956821196391,0.5981483874819918,0.017392404153827146,0.7751641273498535
70,RF 100 | W2V-SG,0.5788614217308955,0.008897340983644853,0.712987642357873,0.7481921670823299,0.6974435870570608,0.5472869382905842,0.9992734775288177,0.4204120557979222,2.2403132915496826
71,KNN k=15 | W2V-SG,0.5751322190030208,0.010839755350045426,0.7099461307765738,0.7334168503381863,0.6240616960851978,0.5539302872602863,0.6270639835124392,0.05193176450941839,2.6988437175750732
72,RF 100 | SBERT,0.5722628521481217,0.01684756517276777,0.6994167933255993,0.7463065277242411,0.8569116612124373,0.5246558466171125,1.0,0.42773714785187833,3.6591546535491943
73,KNN k=5 | GloVe-Twitter,0.5694949468228636,0.01125419985222789,0.6943112784728095,0.7115179888270611,0.6036888411020878,0.5515800910894156,0.674652855482202,0.10515790865933838,2.4988975524902344
74,LR C=1.0 | GloVe-Twitter,0.5688039445688577,0.013543833981237421,0.673256423169773,0.6666650193884645,0.5640834521893818,0.5787436957692813,0.5943698115920987,0.02556586702324093,0.6594562530517578
75,RF 300 | SBERT,0.5659926900865175,0.014329105686167952,0.6955656434806337,0.7440005578782178,0.8593923899512056,0.5193767951536561,1.0,0.43400730991348246,10.116491079330444
76,LightGBM Tuned | W2V-CBOW,0.5634234303764842,0.01089904722467084,0.7002143289823515,0.7224134163122273,0.6053815986784661,0.5461357404905209,0.9992735336257799,0.43585010324929563,20.692607402801514
77,LightGBM 100 | W2V-CBOW,0.5633726813087441,0.006070934132545221,0.6889333075193547,0.6905578562541115,0.5651426493757874,0.5626438398673967,0.95789031261023,0.394517631301486,3.0495920181274414
78,LightGBM 300 | W2V-CBOW,0.5610414591253947,0.005379674070305271,0.6964619953986297,0.7141350746162116,0.5899950590666583,0.547498329331657,0.9992735336257799,0.43823207450038515,8.666297674179077
79,LinearSVC C=1.0 | BoW,0.5605488699974688,0.021267793425871793,0.6929203899429662,0.7390759647833884,0.7889421277143502,0.5194726541648729,0.6784761452964684,0.1179272752989996,1.671654224395752
80,XGBoost 100 | W2V-CBOW,0.5559040518804831,0.00850647927626841,0.6972809835626559,0.7266053549719798,0.6203933048805029,0.5357199214951971,0.999237542805548,0.4433334909250649,7.27931809425354
81,XGBoost 300 | W2V-CBOW,0.5553632105526851,0.00966595429233664,0.6964745656217592,0.724824098142639,0.6160783530494705,0.5359829930531629,0.9992734080654679,0.4439101975127828,18.30842137336731
82,KNN k=15 | GloVe-Twitter,0.5522934161173622,0.007852355306917191,0.6899913103011899,0.7238819648295122,0.636932058260865,0.5254362326785366,0.5988568772761698,0.046563461158807606,2.537379264831543
83,RF 100 | W2V-CBOW,0.544948871460498,0.00855538664894914,0.6912784045997735,0.7291215175166074,0.6449917511171832,0.5219358946551116,0.9992734775288177,0.4543246060683197,2.3390626907348633
84,RF 300 | W2V-CBOW,0.5444035499881296,0.007603185763290068,0.6912631021340985,0.7310079256045237,0.657199047455351,0.5205960989783829,0.999273529123595,0.45486997913546545,6.100218772888184
85,MultinomialNB a=1.0 | TF-IDF 2g,0.5390003732350344,0.01140422558290341,0.6845745012894653,0.737398651208608,0.8212919470414416,0.5063970854389785,0.6704735831257481,0.13147320989071376,0.1548783779144287
86,KNN k=5 | W2V-CBOW,0.5387115923745646,0.011072635753364266,0.6749791593937198,0.6845829585775423,0.5503845003282201,0.5310380005349946,0.678564773219333,0.1398531808447684,2.551861047744751
87,LR C=1.0 | W2V-CBOW,0.5261127531447394,0.009714687819295865,0.6454670747288602,0.6304103479820293,0.5256372933169757,0.5427139656846188,0.5358686213904962,0.009755868245756805,1.3428616523742676
88,MultinomialNB a=1.0 | TF-IDF char,0.5240510560758593,0.013478634724537142,0.6744888005926197,0.7279689718677828,0.7672397158965283,0.49648207174653863,0.5891118172988766,0.0650607612230173,0.2073678970336914
89,RF 300 | GloVe-Twitter,0.5224588991043888,0.008811552016544625,0.6671762617049914,0.7094205644014395,0.6388299512809554,0.4962308391979263,0.8677518105375741,0.3452929114331853,3.3912954330444336
90,RF 100 | GloVe-Twitter,0.5188887123216916,0.004858625842990783,0.665028126963749,0.7071151436481502,0.6297753444328245,0.49374549262008693,0.8672401868058202,0.3483514744841285,1.3239479064941406
91,MultinomialNB a=1.0 | TF-IDF 1g,0.5188039601728293,0.010756105575526479,0.6734391608853725,0.7299587741175255,0.794297962958485,0.49411369268655425,0.6352467350581696,0.11644277488534038,0.05455970764160156
92,KNN k=15 | W2V-CBOW,0.5172241030351966,0.012054241025659518,0.673858378373797,0.7090008379155122,0.5750385767803768,0.5027417501157132,0.5718615018507354,0.05463739881553875,2.629894971847534
93,"MLP (256,128) | W2V-CBOW",0.511070454070871,0.01036385878986584,0.6723036575347123,0.710678206399566,0.5846278358865815,0.5032560745162241,0.5368570708418805,0.025786616771009463,6.4078826904296875
